"","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","q1","q2","q3","q4","q7","q8","q6","q5","q9","q3_0","q26","q11","q27","q28","q28_0","q49_1","q49_2","q49_3","q41","q15","q16","q17","q17_text","q39","q31","q32","q33","q38","q36_1","q42","q37","q8_0","q9_0","q10","q11_0","q11_text","q12","q12_text","q13","q18","q19","do_br_fl_2","do_bl_50f_50m","do_bl_governmentarchitecture","time","filter__","rep","chief","second","third","direct","mmff","mfmf","mffm","fmmf","fmfm","ffmm","easy","mid","hard","plastics","light","heavy","gender","race","age","income"
"294","R_d729ZpExi4AsWKV","Default Response Set","Anonymous","","","","0",41659.01171875,41659.02734375,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,100,90,90,1,"united states","new york","a large city","",1,1,NA,NA,NA,30,1,"$10,000 to $14,999",1,"60-64","female","white","","bachelors degree","","$150,000 or more","very liberal","","50F/50M","Q9|Q26","Q39|Q31|Q36|Q42|Q37",1529,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,100,90,90,1,0,0,"female","white","60-64","$150,000 or more"
"297","R_0jkUsJNcRhcWy6p","Default Response Set","Anonymous","","","","0",41659.01171875,41659.015625,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,90,92,93,1,"jamaica",NA,"a large city","",1,NA,NA,1,NA,60,1,"$1,000 to $4,000",1,"35-44","female","black or african american","","associate degree","","$10,000 to under $25,000","conservative","","50F/50M","Q3|Q26","Q39|Q33|Q36|Q42|Q37",333,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,90,92,93,0,0,0,"female","black or african american","35-44","$10,000 to under $25,000"
"302","R_do28l6eS3Y4s9Xn","Default Response Set","Anonymous","","","","0",41659.01953125,41659.01953125,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,100,100,100,1,NA,"california","a suburban near a large city","",1,NA,NA,NA,1,100,1,"$5,000 to $9,999",1,"45-54","female","white","","graduate or professional degree","","$100,000 to under $150,000","very liberal","interesting","50F/50M","Q9|Q26","Q39|Q38|Q36|Q42|Q37",142,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,100,100,100,1,1,1,"female","white","45-54","$100,000 to under $150,000"
"303","R_71ejFj0CfQjT01L","Default Response Set","Anonymous","","","","0",41659.01953125,41659.01953125,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,98,98,98,1,"united states","north carolina","a rural area","",1,NA,1,NA,NA,60,1,"$5,000 to $9,999",1,"45-54","female","white","","associate degree","","$75,000 to under $100,000","very conservative","I enjoyed your questions","50F/50M","Q7|Q26","Q39|Q32|Q36|Q42|Q37",133,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,98,98,98,0,0,0,"female","white","45-54","$75,000 to under $100,000"
"308","R_b94zl8Q0qfoARhP","Default Response Set","Anonymous","","","","0",41659.01953125,41659.01953125,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,100,100,86,1,"united states","new york","a large city","",1,NA,NA,NA,1,2,1,"$1,000 to $4,000",1,"35-44","female","hispanic or latino (of any race)","","associate degree","","$50,000 to under $75,000","very liberal","","50F/50M","Q5|Q26","Q39|Q38|Q36|Q42|Q37",183,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,100,100,86,1,1,0,"female","hispanic or latino (of any race)","35-44","$50,000 to under $75,000"
"310","R_6tmT47Hj5cyzwup","Default Response Set","Anonymous","","","","0",41659.0234375,41659.02734375,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,95,100,75,1,"united states","south carolina","a suburban near a large city","",1,NA,NA,NA,1,9,1,"$1,000 to $4,000",1,"65-74","male","white","","some college, no degree","","$25,000 to under $50,000","very conservative","Interesting.","50F/50M","Q3|Q26","Q39|Q38|Q36|Q42|Q37",547,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,95,100,75,0,1,0,"male","white","65-74","$25,000 to under $50,000"
"313","R_01I4mSWK5WMYEXr","Default Response Set","Anonymous","","","","0",41659.0234375,41659.02734375,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,59,53,1,"united states","new york","a large city","",1,NA,1,NA,NA,51,1,"$15,000 to $19,999",1,"45-54","female","black or african american","","graduate or professional degree","","$50,000 to under $75,000","very liberal","","50F/50M","Q6|Q26","Q39|Q32|Q36|Q42|Q37",189,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,59,53,1,0,0,"female","black or african american","45-54","$50,000 to under $75,000"
"315","R_5stwdNkDcTFi7CR","Default Response Set","Anonymous","","","","0",41659.02734375,41659.02734375,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,89,70,18,1,"united states","north carolina","a suburban near a large city","",1,NA,1,NA,NA,37,1,"$1,000 to $4,000",1,"25-34","female","white","","bachelors degree","","$50,000 to under $75,000","liberal","","50F/50M","Q3|Q26","Q39|Q32|Q36|Q42|Q37",164,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,89,70,18,0,0,0,"female","white","25-34","$50,000 to under $75,000"
"320","R_5yVSQUI0iHzVL3D","Default Response Set","Anonymous","","","","0",41659.0390625,41659.04296875,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,96,96,95,1,"united states","texas","a large city","",1,NA,1,NA,NA,5,1,"$1,000 to $4,000",1,"45-54","female","white","","bachelors degree","","$75,000 to under $100,000","moderate","","50F/50M","Q6|Q26","Q39|Q32|Q36|Q42|Q37",303,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,96,96,95,0,0,0,"female","white","45-54","$75,000 to under $100,000"
"321","R_72FsvEQl2GZKEux","Default Response Set","Anonymous","","","","0",41659.0390625,41659.04296875,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,85,83,51,1,"united states","massachusetts","a small city or town","",1,NA,NA,1,NA,51,1,"$1,000 to $4,000",1,"45-54","female","white","","some college, no degree","","$75,000 to under $100,000","moderate","","50F/50M","Q5|Q26","Q39|Q33|Q36|Q42|Q37",268,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,85,83,51,0,0,0,"female","white","45-54","$75,000 to under $100,000"
"324","R_1LmacCNnHwYVO4J","Default Response Set","Anonymous","","","","0",41659.04296875,41659.04296875,0,1,"",1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","50F/50M","Q3|Q26","",17,0,"Q3|Q26",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","R_5p4FTg0bWb3rZC5","Default Response Set","Anonymous","","","","0",41659.046875,41659.05078125,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","south carolina","a large city","",1,1,NA,NA,NA,50,1,"less than $1000",1,"35-44","female","black or african american","","bachelors degree","","$25,000 to under $50,000","moderate","","50F/50M","Q7|Q26","Q39|Q31|Q36|Q42|Q37",113,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,100,100,100,1,1,1,"female","black or african american","35-44","$25,000 to under $50,000"
"330","R_8hQrlG2XCByhe3X","Default Response Set","Anonymous","","","","0",41659.05078125,41659.05078125,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,69,20,0,1,"united states","new york","a rural area","",1,NA,NA,NA,1,40,1,"$10,000 to $14,999",1,"20-24","male","white","","associate degree","","$100,000 to under $150,000","moderate","","50F/50M","Q6|Q26","Q39|Q38|Q36|Q42|Q37",121,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,69,20,0,0,0,0,"male","white","20-24","$100,000 to under $150,000"
"332","R_6gr8kxnOi4jnTo1","Default Response Set","Anonymous","","","","0",41659.0546875,41659.07421875,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,100,100,100,1,"united states","kentucky","a suburban near a large city","",1,NA,1,NA,NA,50,1,"less than $1000",1,"35-44","female","white","","some college, no degree","","$25,000 to under $50,000","moderate","","50F/50M","Q9|Q26","Q39|Q32|Q36|Q42|Q37",1607,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,100,100,100,1,1,1,"female","white","35-44","$25,000 to under $50,000"
"333","R_dgqxqJFmcEcBwNL","Default Response Set","Anonymous","","","","0",41659.0546875,41659.05859375,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,100,49,47,1,"united states","pennsylvania","a suburban near a large city","",1,1,NA,NA,NA,20,1,"less than $1000",1,"65-74","female",NA,"","high school graduate (includes equivalency)","","$10,000 to under $25,000","liberal","","50F/50M","Q3|Q26","Q39|Q31|Q36|Q42|Q37",428,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,100,49,47,1,0,0,"female",NA,"65-74","$10,000 to under $25,000"
"336","R_9tcuD69noOiVB89","Default Response Set","Anonymous","","","","0",41659.05859375,41659.05859375,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,98,59,58,1,"united states","new york","a suburban near a large city","",1,NA,NA,1,NA,57,1,"less than $1000",1,"65-74","female","white","","associate degree","","$10,000 to under $25,000","moderate","We need some changes-CON","50F/50M","Q6|Q26","Q39|Q33|Q36|Q42|Q37",240,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,98,59,58,0,0,0,"female","white","65-74","$10,000 to under $25,000"
"340","R_3rQCx9Xuq3jXZ2Z","Default Response Set","Anonymous","","","","0",41659.05859375,41659.0625,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,52,70,62,1,"australia",NA,"a large city","",1,NA,1,NA,NA,74,1,"$25,000 to $29,999",1,"25-34","male","asian or pacific islander","","bachelors degree","","$75,000 to under $100,000","moderate","","50F/50M","Q6|Q26","Q39|Q32|Q36|Q42|Q37",220,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,52,70,62,0,0,0,"male","asian or pacific islander","25-34","$75,000 to under $100,000"
"343","R_9Ld2UjiDRPWl9zL","Default Response Set","Anonymous","","","","0",41659.0625,41659.0625,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,2,1,2,1,"united states","california","a small city or town","",1,NA,NA,1,NA,100,1,"less than $1000",1,"45-54","female","white","","associate degree","","$10,000 to under $25,000","very liberal","","50F/50M","Q6|Q26","Q39|Q33|Q36|Q42|Q37",126,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,2,1,2,0,0,0,"female","white","45-54","$10,000 to under $25,000"
"346","R_9Ww08lyfbX4pbnf","Default Response Set","Anonymous","","","","0",41659.06640625,41659.06640625,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,40,30,41,1,"chile","kansas","a rural area","",1,NA,1,NA,NA,58,1,"$50,000 or more",1,"25-34","male","hispanic or latino (of any race)","","graduate or professional degree","","less than $10,000","moderate","","50F/50M","Q9|Q26","Q39|Q32|Q36|Q42|Q37",229,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,40,30,41,0,0,0,"male","hispanic or latino (of any race)","25-34","less than $10,000"
"349","R_79ElniwwXNXc8Bv","Default Response Set","Anonymous","","","","0",41659.06640625,41659.0703125,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,81,15,18,1,"united states","michigan","a rural area","",1,1,NA,NA,NA,49,1,"$1,000 to $4,000",1,"35-44","male","white","","associate degree","","$25,000 to under $50,000","moderate","","50F/50M","Q6|Q26","Q39|Q31|Q36|Q42|Q37",182,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,81,15,18,0,0,0,"male","white","35-44","$25,000 to under $50,000"
"355","R_bDfgiLy1FJSwded","Default Response Set","Anonymous","","","","0",41659.0703125,41659.07421875,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,97,99,100,1,"united states","indiana","a small city or town","",1,NA,NA,NA,1,4,1,"less than $1000",1,"75-84","male","white","","some college, no degree","","$25,000 to under $50,000","very conservative","","50F/50M","Q6|Q26","Q39|Q38|Q36|Q42|Q37",189,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,97,99,100,0,0,1,"male","white","75-84","$25,000 to under $50,000"
"357","R_9GdXgxinridVv2B","Default Response Set","Anonymous","","","","0",41659.0703125,41659.078125,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,91,100,100,1,"india",NA,"a large city","",1,NA,NA,1,NA,30,1,"less than $1000",1,"60-64","female","asian or pacific islander","","other","post graduate","$25,000 to under $50,000","liberal","","50F/50M","Q3|Q26","Q39|Q33|Q36|Q42|Q37",492,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,91,100,100,0,1,1,"female","asian or pacific islander","60-64","$25,000 to under $50,000"
"359","R_bEPmDFBkdjmt6E5","Default Response Set","Anonymous","","","","0",41659.07421875,41659.078125,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,100,100,85,1,"united states","california","a large city","",1,NA,NA,1,NA,50,1,"$5,000 to $9,999",1,"25-34","male","white","","graduate or professional degree","","$150,000 or more","moderate","","50F/50M","Q3|Q26","Q39|Q33|Q36|Q42|Q37",189,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,100,100,85,1,1,0,"male","white","25-34","$150,000 or more"
"361","R_3NRtrbDNLlyGK8d","Default Response Set","Anonymous","","","","0",41659.078125,41659.08203125,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,100,100,100,1,"united kingdom",NA,"a large city","",1,NA,NA,NA,1,NA,1,"$1,000 to $4,000",1,"45-54","male","white","","other","uk comprehensive up to a","$50,000 to under $75,000","moderate","","50F/50M","Q9|Q26","Q39|Q38|Q36|Q42|Q37",338,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,100,100,100,1,1,1,"male","white","45-54","$50,000 to under $75,000"
"366","R_0rhqnxvIbZVMnvn","Default Response Set","Anonymous","","","","0",41659.08203125,41659.0859375,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,84,92,87,1,"united states","texas","a suburban near a large city","",1,NA,NA,NA,1,51,1,"less than $1000",1,"45-54",NA,"white","","some college, no degree","","$25,000 to under $50,000","moderate","","50F/50M","Q6|Q26","Q39|Q38|Q36|Q42|Q37",161,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,84,92,87,0,0,0,NA,"white","45-54","$25,000 to under $50,000"
"369","R_3KkBCc71HJxwpkV","Default Response Set","Anonymous","","","","0",41659.0859375,41659.0859375,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","california","a suburban near a large city","",1,NA,NA,1,NA,11,1,"$1,000 to $4,000",1,"65-74","female","white","","high school graduate (includes equivalency)","","$50,000 to under $75,000","moderate","","50F/50M","Q5|Q26","Q39|Q33|Q36|Q42|Q37",169,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,100,100,100,1,1,1,"female","white","65-74","$50,000 to under $75,000"
"371","R_5p9OznbuAuOXf9P","Default Response Set","Anonymous","","","","0",41659.08984375,41659.08984375,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","maryland","a rural area","",1,NA,NA,NA,1,49,1,"less than $1000",1,"65-74","female","white","","associate degree","","$50,000 to under $75,000","conservative","","50F/50M","Q6|Q26","Q39|Q38|Q36|Q42|Q37",165,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,100,100,1,1,1,"female","white","65-74","$50,000 to under $75,000"
"376","R_d1mEDjZ2RVy2YgB","Default Response Set","Anonymous","","","","0",41659.09375,41659.09765625,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,58,9,9,1,"united states","california","a small city or town","",1,NA,1,NA,NA,71,1,"$10,000 to $14,999",1,"65-74","female","white","","graduate or professional degree","","$75,000 to under $100,000","liberal","","50F/50M","Q9|Q26","Q39|Q32|Q36|Q42|Q37",239,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,58,9,9,0,0,0,"female","white","65-74","$75,000 to under $100,000"
"377","R_0lHcGAy6p9CL4JD","Default Response Set","Anonymous","","","","0",41659.09375,41659.09765625,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,90,75,0,1,"united states","north carolina","a rural area","",1,NA,1,NA,NA,25,1,"less than $1000",1,"55-59","female","white","","bachelors degree","","i' rather not say","liberal","","50F/50M","Q5|Q26","Q39|Q32|Q36|Q42|Q37",232,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,90,75,0,0,0,0,"female","white","55-59","i' rather not say"
"380","R_9TsftU1PzhIaSfr","Default Response Set","Anonymous","","","","0",41659.09765625,41659.1015625,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,100,100,100,1,"indonesia",NA,"a large city","",1,NA,NA,NA,1,70,1,"less than $1000",1,"35-44","female","asian or pacific islander","","graduate or professional degree","","$10,000 to under $25,000","very conservative","nothing","50F/50M","Q9|Q26","Q39|Q38|Q36|Q42|Q37",465,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,100,100,100,1,1,1,"female","asian or pacific islander","35-44","$10,000 to under $25,000"
"382","R_a9jqiTawH31Csmx","Default Response Set","Anonymous","","","","0",41659.1015625,41659.1015625,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,99,97,99,1,"united states","michigan","a rural area","",1,NA,NA,NA,1,96,1,"$20,000 to $24,999",1,"25-34","female","white","","high school graduate (includes equivalency)","","$25,000 to under $50,000","very liberal","none","50F/50M","Q5|Q26","Q39|Q38|Q36|Q42|Q37",129,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,99,97,99,0,0,0,"female","white","25-34","$25,000 to under $50,000"
"387","R_2lOE7abl9NIygPX","Default Response Set","Anonymous","","","","0",41659.1015625,41659.109375,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,99,99,98,1,"india",NA,"a large city","",1,1,NA,NA,NA,41,1,"less than $1000",1,"35-44","male","asian or pacific islander","","bachelors degree","","$10,000 to under $25,000","moderate","i like this kind of surv","50F/50M","Q6|Q26","Q39|Q31|Q36|Q42|Q37",413,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,99,99,98,0,0,0,"male","asian or pacific islander","35-44","$10,000 to under $25,000"
"389","R_24VMN5PxV4MCeR7","Default Response Set","Anonymous","","","","0",41659.109375,41659.11328125,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,98,95,1,"india",NA,"a large city","",1,NA,1,NA,NA,10,1,"less than $1000",1,"20-24","male","asian or pacific islander","","graduate or professional degree","","$100,000 to under $150,000","liberal","very nice survey! this w","50F/50M","Q6|Q26","Q39|Q32|Q36|Q42|Q37",571,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,98,95,1,0,0,"male","asian or pacific islander","20-24","$100,000 to under $150,000"
"391","R_9n3qiXaZnvB0p0h","Default Response Set","Anonymous","","","","0",41659.11328125,41659.12109375,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"philippines",NA,"a small city or town","",1,NA,NA,NA,1,55,1,"less than $1000",1,"45-54","female","asian or pacific islander","","graduate or professional degree","","less than $10,000","moderate","","50F/50M","Q6|Q26","Q39|Q38|Q36|Q42|Q37",528,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,100,100,1,1,1,"female","asian or pacific islander","45-54","less than $10,000"
"397","R_e4JNaYC5rRJTEs5","Default Response Set","Anonymous","","","","0",41659.12109375,41659.12109375,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,91,92,73,1,"united states","new york","a large city","",1,NA,1,NA,NA,61,1,NA,1,"75-84","female","white","","graduate or professional degree","","$25,000 to under $50,000","moderate","","50F/50M","Q6|Q26","Q39|Q32|Q36|Q42|Q37",264,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,91,92,73,0,0,0,"female","white","75-84","$25,000 to under $50,000"
"399","R_0Txxbl4e0dHaLDT","Default Response Set","Anonymous","","","","0",41659.12109375,41659.125,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,80,86,74,1,"united states","texas","a large city","",1,NA,NA,NA,1,76,1,"$15,000 to $19,999",1,"35-44","male","white","","graduate or professional degree","","$100,000 to under $150,000","moderate","","50F/50M","Q5|Q26","Q39|Q38|Q36|Q42|Q37",405,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,80,86,74,0,0,0,"male","white","35-44","$100,000 to under $150,000"
"402","R_4HgOJKo8GsK6b1b","Default Response Set","Anonymous","","","","0",41659.125,41659.125,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","florida","a suburban near a large city","",1,NA,1,NA,NA,8,1,"$5,000 to $9,999",1,"45-54","male","other","Son of Adam","graduate or professional degree","","$75,000 to under $100,000","very conservative","","50F/50M","Q7|Q26","Q39|Q32|Q36|Q42|Q37",129,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,100,100,100,1,1,1,"male","other","45-54","$75,000 to under $100,000"
"405","R_39n59B4mhzdaTop","Default Response Set","Anonymous","","","","0",41659.1328125,41659.13671875,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,93,94,91,1,"united states","virginia","a small city or town","",1,NA,1,NA,NA,57,1,"$1,000 to $4,000",1,"45-54","male","white","","bachelors degree","","$50,000 to under $75,000","moderate","","50F/50M","Q5|Q26","Q39|Q32|Q36|Q42|Q37",205,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,93,94,91,0,0,0,"male","white","45-54","$50,000 to under $75,000"
"408","R_cu1P1X42xG3sIBL","Default Response Set","Anonymous","","","","0",41659.13671875,41659.14453125,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,86,71,84,1,"united states","california","a large city","",1,NA,1,NA,NA,88,1,"$20,000 to $24,999",1,"25-34","male","white","","bachelors degree","","$100,000 to under $150,000","very conservative","","50F/50M","Q3|Q26","Q39|Q32|Q36|Q42|Q37",838,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,86,71,84,0,0,0,"male","white","25-34","$100,000 to under $150,000"
"409","R_81yFXXgJp4flSUR","Default Response Set","Anonymous","","","","0",41659.140625,41659.140625,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,82,61,59,1,"united states","new jersey","a small city or town","",1,NA,1,NA,NA,13,1,"less than $1000",1,"45-54","female","white","","high school graduate (includes equivalency)","","$10,000 to under $25,000","moderate","","50F/50M","Q5|Q26","Q39|Q32|Q36|Q42|Q37",197,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,82,61,59,0,0,0,"female","white","45-54","$10,000 to under $25,000"
"413","R_1OhI49bT2omDUgZ","Default Response Set","Anonymous","","","","0",41659.1484375,41659.15234375,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,100,100,100,1,NA,NA,"a rural area","",1,NA,NA,NA,1,71,1,"$1,000 to $4,000",1,"45-54","female","other","East Indian Trinidadian","some college, no degree","","$50,000 to under $75,000","conservative","","50F/50M","Q9|Q26","Q39|Q38|Q36|Q42|Q37",434,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,100,100,100,1,1,1,"female","other","45-54","$50,000 to under $75,000"
"416","R_a5heEwoIG72irHv","Default Response Set","Anonymous","","","","0",41659.1484375,41659.15234375,0,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,100,100,100,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","50F/50M","Q3|Q26","",126,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,100,100,100,1,1,1,NA,NA,NA,NA
"420","R_6z2KQGIJEFux8s5","Default Response Set","Anonymous","","","","0",41659.15625,41659.16015625,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,96,6,7,1,"united states","new york","a suburban near a large city","",1,NA,NA,NA,1,66,1,"$1,000 to $4,000",1,"55-59","male","white","","associate degree","","$50,000 to under $75,000","liberal","","50F/50M","Q5|Q26","Q39|Q38|Q36|Q42|Q37",348,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,96,6,7,0,0,0,"male","white","55-59","$50,000 to under $75,000"
"422","R_2uzjZHotQVCBUI5","Default Response Set","Anonymous","","","","0",41659.16015625,41659.16015625,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,79,82,82,1,"italy",NA,"a large city","",1,NA,1,NA,NA,58,1,"$10,000 to $14,999",1,"35-44","male","white","","high school graduate (includes equivalency)","","$10,000 to under $25,000","moderate","","50F/50M","Q9|Q26","Q39|Q32|Q36|Q42|Q37",107,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,79,82,82,0,0,0,"male","white","35-44","$10,000 to under $25,000"
"426","R_6lJ17TQA5J4K2YB","Default Response Set","Anonymous","","","","0",41659.16796875,41659.16796875,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","missouri","a suburban near a large city","",1,1,NA,NA,NA,80,1,"less than $1000",1,"75-84","male","white","","some college, no degree","","$10,000 to under $25,000","moderate","none","50F/50M","Q5|Q26","Q39|Q31|Q36|Q42|Q37",293,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,100,100,100,1,1,1,"male","white","75-84","$10,000 to under $25,000"
"428","R_56X6loSdfqAxKG9","Default Response Set","Anonymous","","","","0",41659.16796875,41659.171875,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,97,100,91,1,"united states","new york","a large city","",1,NA,1,NA,NA,65,1,"less than $1000",1,"35-44","female","white","","bachelors degree","","$50,000 to under $75,000","moderate","we already separate food","50F/50M","Q9|Q26","Q39|Q32|Q36|Q42|Q37",255,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,97,100,91,0,1,0,"female","white","35-44","$50,000 to under $75,000"
"431","R_1Tb4isSr9i5Wfsx","Default Response Set","Anonymous","","","","0",41659.171875,41659.171875,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,100,5,3,1,"united states","new york","a large city","",1,NA,NA,1,NA,50,1,"$1,000 to $4,000",1,"60-64","male","asian or pacific islander","","associate degree","","$25,000 to under $50,000","liberal","","50F/50M","Q5|Q26","Q39|Q33|Q36|Q42|Q37",293,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,100,5,3,1,0,0,"male","asian or pacific islander","60-64","$25,000 to under $50,000"
"435","R_9Y95SNfkHSqOPGt","Default Response Set","Anonymous","","","","0",41659.17578125,41659.1796875,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,100,100,100,1,"south africa",NA,"a suburban near a large city","",1,NA,1,NA,NA,45,1,"$1,000 to $4,000",1,"35-44","male","asian or pacific islander","","some college, no degree","","$25,000 to under $50,000","liberal","none","50F/50M","Q9|Q26","Q39|Q32|Q36|Q42|Q37",250,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,100,100,100,1,1,1,"male","asian or pacific islander","35-44","$25,000 to under $50,000"
"438","R_3BOnWBPsQ87X5el","Default Response Set","Anonymous","","","","0",41659.1796875,41659.18359375,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,87,37,17,1,"afghanistan","texas","a large city","",1,NA,1,NA,NA,62,1,"less than $1000",1,"25-34","female","hispanic or latino (of any race)","","some college, no degree","","less than $10,000","moderate","","50F/50M","Q9|Q26","Q39|Q32|Q36|Q42|Q37",189,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,87,37,17,0,0,0,"female","hispanic or latino (of any race)","25-34","less than $10,000"
